Date,Close/Last,Volume,Open,High,Low
04/04/2019,21795,5361,21785,21805,21685
04/03/2019,21780,10511,21535,21850,21500
04/02/2019,21545,9595,21630,21765,21490
04/01/2019,21650,13536,21350,21695,21350
03/29/2019,21285,10905,21225,21330,21165
03/28/2019,21225,11556,21195,21250,20985
03/27/2019,21205,12428,21330,21415,21085
03/26/2019,21290,10795,20970,21365,20960
03/25/2019,20965,14418,21025,21065,20705
03/22/2019,21000,12840,21440,21505,20950
03/21/2019,21440,6152,21270,21445,21160
03/20/2019,21290,8554,21420,21490,21255
03/19/2019,21420,8394,21445,21520,21275
03/18/2019,21435,5862,21370,21475,21340
03/15/2019,21355,8873,21175,21400,21170
03/14/2019,21200,10124,21360,21385,21120
03/13/2019,21320,7634,21270,21360,21015
03/12/2019,21260,7577,21200,21410,21175
03/11/2019,21165,6764,20990,21190,20780
03/08/2019,20935,17773,21110,21175,20680
03/07/2019,21285,2081,21535,21540,21220
03/06/2019,21535,22119,21690,21700,21530
03/05/2019,21690,18980,21675,21835,21655
03/04/2019,21685,15877,21820,21865,21600
03/01/2019,21760,9492,21460,21775,21440
02/28/2019,21490,10506,21570,21570,21290
02/27/2019,21565,7954,21520,21600,21455
02/26/2019,21525,6863,21565,21615,21380
02/25/2019,21570,6868,21480,21630,21440
02/22/2019,21430,4943,21340,21495,21320
02/21/2019,21360,7154,21400,21545,21300
02/20/2019,21400,6599,21325,21480,21290
02/19/2019,21330,13758,21245,21400,21175
02/15/2019,21220,3532,21220,21320,21175
02/14/2019,21000,9486,21105,21240,20940
02/13/2019,21105,8420,20950,21195,20910
02/12/2019,20930,10089,20425,20965,20395
02/11/2019,20450,5423,20345,20480,20210
02/08/2019,20310,10404,20535,20540,20170
02/07/2019,20540,11665,20855,20895,20450
02/06/2019,20870,5529,20945,20950,20815
02/05/2019,20930,6442,20885,20970,20805
02/04/2019,20890,7585,20770,20905,20755
02/01/2019,20805,12296,20845,20920,20715
01/31/2019,20835,11220,20810,20885,20635
01/30/2019,20805,12149,20700,20845,20515
01/29/2019,20630,9424,20570,20755,20405
01/28/2019,20595,7059,20810,20840,20475
01/25/2019,20810,8690,20600,20910,20555
01/24/2019,20595,6749,20560,20655,20445
01/23/2019,20575,9117,20440,20740,20420
01/22/2019,20450,15374,20945,20965,20350
01/18/2019,20950,1996,20945,20965,20690
01/17/2019,20515,9634,20520,20630,20210
01/16/2019,20510,6784,20550,20600,20325
01/15/2019,20525,10734,20145,20595,20140
01/14/2019,20130,3804,20290,20290,20000
01/11/2019,20305,10287,20385,20405,20205
01/10/2019,20375,9114,20295,20405,20060
01/09/2019,20290,10548,20330,20510,20200
01/08/2019,20330,10767,20215,20440,20120
01/07/2019,20205,10856,20190,20335,20000
01/04/2019,20135,18200,19445,20225,19250
01/03/2019,19425,9328,19600,19690,19325
01/02/2019,19855,10961,19900,20005,19320
12/31/2018,19860,3993,20055,20120,19755
12/28/2018,19960,13276,20035,20095,19750
12/27/2018,20075,15844,20060,20225,19540
12/26/2018,20070,19555,19220,20110,18960
12/24/2018,19290,6465,19785,19945,19275
12/21/2018,19835,21704,20390,20425,19760
12/20/2018,20385,21539,20670,20815,20065
12/19/2018,20665,17156,20990,21165,20545
12/18/2018,21005,12843,21150,21295,20955
12/17/2018,21130,12242,21195,21540,20950
12/14/2018,21265,13433,21710,21730,21225
12/13/2018,21715,2767,21670,21925,21665
12/12/2018,21645,13495,21275,21825,21275
12/11/2018,21345,23641,21355,21530,21070
12/10/2018,21320,27991,21300,21390,20950
12/07/2018,21340,19869,21615,21735,21250
12/06/2018,21580,26754,21910,21910,21075
12/04/2018,21905,7489,21630,21985,21590
12/03/2018,22645,13387,22600,22780,22535
11/30/2018,22420,8424,22295,22435,22235
11/29/2018,22300,9860,22400,22440,22200
11/28/2018,22400,10512,22135,22425,22050
11/27/2018,22095,12260,21975,22205,21825
11/26/2018,22055,8383,21495,22095,21495
11/23/2018,21485,7549,21580,21740,21460
11/21/2018,21655,1741,21665,21685,21480
11/20/2018,21235,18206,21585,21695,21185
11/19/2018,21605,8980,21695,21925,21540
11/16/2018,21755,13467,21925,21925,21505
11/15/2018,21950,17360,21675,21950,21550
11/14/2018,21675,13770,21775,22000,21560
11/13/2018,21785,15977,21770,21975,21490
11/12/2018,21800,9984,22150,22340,21750
11/09/2018,22150,11728,22460,22500,22025
11/08/2018,22480,14191,22570,22600,22380
11/07/2018,22585,17723,22245,22590,22010
11/06/2018,22270,10888,22035,22285,21995
11/05/2018,22020,8733,21990,22105,21880
11/02/2018,22030,23698,21715,22340,21690
11/01/2018,21790,13964,21800,21890,21535
10/31/2018,21795,15724,21700,21970,21590
10/30/2018,21655,23650,21045,21705,20985
10/29/2018,21055,21682,21300,21525,20830
10/26/2018,21280,33778,21540,21560,20825
10/25/2018,21590,26625,21505,21815,21230
10/24/2018,21430,26533,22160,22240,21375
10/23/2018,22205,27726,22470,22515,21670
10/22/2018,22500,11574,22430,22745,22295
10/19/2018,22485,11447,22320,22720,22250
10/18/2018,22345,12610,22930,22980,22195
10/17/2018,22900,12618,22935,22980,22670
10/16/2018,22910,12891,22250,22935,22185
10/15/2018,22300,15694,22605,22630,22070
10/12/2018,22590,18626,22585,22790,22250
10/11/2018,22525,37321,22770,22945,22275
10/10/2018,22835,17148,23555,23625,22740
10/09/2018,23555,11031,23630,23650,23355
